Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
72.0,0.4,4.0,60.0,14.5,69.0,270.0,275.0,285.0,290.0,300.0,45.8,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,130,2.31,23.72,0.0,0.0
72.0,0.35,4.0,60.0,15.0,65.0,260.0,270.0,280.0,290.0,290.0,49.1,50.0,1325.0,1375.0,1600.0,2080,2050,2125.0,135.0,160.0,150.0,15.0,20.0,1.1,130,3.03,20.75,0.0,0.0
72.0,0.35,4.0,60.0,15.0,65.0,260.0,270.0,280.0,290.0,295.0,49.1,50.0,1290.0,1375.0,1600.0,2080,2050,2125.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.75,21.67,0.0,0.0
72.0,0.4,4.0,90.0,16.0,41.2,200.0,215.0,220.0,230.0,230.0,36.3,60.0,750.0,900.0,2100.0,2152,2025,2085.0,65.0,80.0,110.0,50.0,18.0,1.5,150,3.36,24.55,0.0,0.0
72.0,0.4,4.0,90.0,16.0,40.5,200.0,215.0,220.0,230.0,230.0,27.1,60.0,800.0,950.0,2150.0,2200,2025,2090.0,65.0,80.0,110.0,60.0,20.0,1.94,150,2.27,20.44,0.0,0.0
72.0,0.4,4.0,90.0,16.0,80.0,210.0,230.0,240.0,245.0,250.0,32.7,40.0,800.0,950.0,2150.0,2200,2040,2135.0,65.0,80.0,110.0,80.0,20.0,2.2,150,2.9,87.0,0.0,0.0
12.0,0.5,4.0,178.0,10.0,30.0,215.0,220.0,230.0,240.0,250.0,81.0,60.0,700.0,800.0,2050.0,2180,2150,2210.0,80.0,100.0,120.0,80.0,20.0,1.3,136,1.66,99.67,0.0,0.0
12.0,0.5,4.0,178.0,12.0,35.0,215.0,220.0,230.0,240.0,250.0,95.0,70.0,1250.0,1500.0,2650.0,2750,2450,2710.0,85.0,100.0,115.0,80.0,20.0,1.3,130,1.56,104.0,0.0,0.0
12.0,0.5,4.0,178.0,12.0,35.0,215.0,220.0,230.0,240.0,250.0,98.0,70.0,1300.0,1499.0,2801.0,3052,2739,3050.0,85.0,100.0,115.0,80.0,20.0,1.3,120,1.9,88.5,0.0,0.0
12.0,0.5,4.0,178.0,12.0,35.0,215.0,220.0,230.0,240.0,250.0,99.0,70.0,1700.0,1799.0,3000.0,3399,3199,3360.0,85.0,100.0,115.0,80.0,20.0,1.3,105,1.77,104.2,0.0,0.0
