material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
PET+15pc SPH16W,72,0.35,4,1,14,50,245,250,255,260,265,41,70,1100,1249,2700,2700,2641,2720,,,,,25,22,138,3,22.72
PBT+3pc,72,0.35,4,1,13,30,260,270,275,275,275,38.4,70,2680,2750,2750,2685,2690,2780,12,,,,10,22,137,0.75,93.5
PBT+3pc,72,0.35,4,1,13,32,260,270,275,275,275,38.4,70,2450,2525,2550,2490,2499,2580,12,,,,10,20,142,0.8,90.5
PBT+15pcMB,72,0.35,4,1,14,28,265,270,275,275,275,48.8,70,800,950,2350,2400,2320,2390,10,65,80,115,20,20,164,1.98,18.72
PBT+15pcMB,72,0.35,4,1,13.8,29,265,270,275,275,275,46.8,70,900,1050,2450,2460,2406,2490,16,65,80,115,20,20,159,1.86,26.4
PBT+15pcMB,72,0.35,4,1,11.5,74.6,250,255,260,260,265,47.8,70,2950,3000,3000,2955,2950,3046,10,,,,,,115,2.18,68.44
PBT+15pcMB,72,0.35,4,1,11,84,250,260,270,270,275,59,70,2850,2900,2920,2860,2860,2955,12,,,,,,107,2.01,67.33
TPX,72,0.4,4,1,18,70,265,270,275,280,290,47,50,2152,2251,2284,2230,2211,2285,,,,,40,20,158,1.3,22.5
TPX,72,0.4,4,1,11,77,270,280,285,290,295,25,50,1052,1091,1085,1061,1066,1125,,,,,40,18,200,1.38,49.11
TPX,72,0.4,4,1,7,66,270,280,285,290,295,16,,636,675,675,660,675,695,,,,,,16,235,1.27,65.39
TPX,72,0.4,4,1,14,75,270,280,285,290,295,29,,783,900,1497,2201,2171,2245,,130,160,140,,16,130,4.26,26.28
