Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Material;Cluster
72.0;0.3;2.0;60.0;2.5633187772925763;35.612648221343875;24.0;69.6;275.0;285.0;285.0;9.5;70.0;2560.0;2660.0;2665.0;2670.0;20.0;85.53254437869822;111.51612903225806;20.0;24.0;1.35;257;1.9;94.5;560.5744680851063;375.3404255319149;PET + Avanza O 0.3.%;cluster1
72.0;0.3;0.6666666666666666;178.0;2.5633187772925763;2.0;22.0;84.0;275.0;280.0;280.0;0.3;70.0;1500.0;1650.0;2700.0;2810.0;18.0;90.0;125.0;30.0;22.0;1.35;235;1.2;46.22;100.0;80.0;rPET + CO2 Pure 3%;cluster-1
72.0;0.3;0.6666666666666666;178.0;2.5633187772925763;2.0;22.0;78.25;270.0;270.0;280.0;0.0;72.6;1500.0;1650.0;2300.0;2795.0;18.0;90.0;125.0;30.0;22.0;1.35;240;1.14;61.9;100.0;80.0;rPET + CO2 Pure 3%;cluster-1
72.0;0.3;2.0;178.0;2.0;2.0;22.0;68.0;260.0;265.0;272.0;17.0;60.0;1500.0;1650.0;2150.0;2795.0;21.0;90.0;125.0;30.0;24.0;1.35;240;1.32;44.33;500.0;355.0;rPET + CO2 Pure 2.5%;cluster-1
72.0;0.3;2.0;178.0;2.0;2.0;22.0;68.0;260.0;265.0;275.0;2.0;60.0;1500.0;1650.0;2150.0;2795.0;20.0;90.0;125.0;30.0;26.0;1.3;240;1.51;55.72;850.0;500.0;rPET + CO2 Pure 2.5%;cluster-1
72.0;0.4;2.0;178.0;2.0;2.0;20.0;79.0;260.0;270.0;275.0;3.0;60.0;2240.0;2361.0;2355.0;2370.0;17.035897435897436;85.53254437869822;111.51612903225806;30.0;24.0;1.3;260;1.52;165.0;500.0;355.0;PES + 1% BB101 R4.47;cluster-1
36.0;0.3;2.0;60.0;2.0;2.0;6.0;50.0;285.0;295.0;285.0;88.0;51.0;582.0;809.0;1505.0;2240.0;17.035897435897436;75.0;140.0;40.0;10.0;1.3;160;4.38;43.83;800.0;500.0;PA B33L;cluster-1
36.0;0.35;4.0;60.0;2.5633187772925763;35.612648221343875;29.0;64.0;220.0;230.0;230.0;54.0;75.0;1252.0;2099.0;2349.0;2580.0;17.035897435897436;85.53254437869822;111.51612903225806;60.0;22.0;2.25;240;3.23;141.33;560.5744680851063;375.3404255319149;PP H561R;cluster-1
36.0;0.35;4.0;60.0;2.5633187772925763;35.612648221343875;29.5;64.0;220.0;220.0;220.0;60.0;75.0;1898.0;2001.0;2450.0;2610.0;17.035897435897436;85.53254437869822;111.51612903225806;60.0;22.0;2.25;240;1.04;135.54;560.5744680851063;375.3404255319149;PP H561R;cluster-1
36.0;0.3;2.0;60.0;3.0;2.0;15.0;42.0;225.0;215.0;235.0;13.3;75.0;2600.0;2700.0;2820.0;3050.0;16.0;85.53254437869822;111.51612903225806;20.0;20.0;1.3;135;2.22;47.4;500.0;355.0;PLA LUMINY L130;cluster0
